"code"	"data"	"source"	"analysis"	"initial_ref"
"S-26"	"seq"	"VN"	"sample"	FALSE
"S-27"	"seq"	"VN"	"sample"	FALSE
"S-28"	"seq"	"VN"	"sample"	FALSE
"S-29"	"seq"	"VN"	"sample"	FALSE
"S-30"	"seq"	"VN"	"sample"	FALSE
"S-31"	"seq"	"VN"	"sample"	FALSE
"S-32"	"seq"	"VN"	"sample"	FALSE
"S-33"	"seq"	"VN"	"sample"	FALSE
"S-34"	"seq"	"VN"	"sample"	FALSE
"S-35_1"	"seq"	"VN"	NA	FALSE
"S-36"	"seq"	"VN"	"sample"	FALSE
"S-37"	"seq"	"VN"	"sample"	FALSE
"S-38"	"seq"	"VN"	"sample"	FALSE
"S-39"	"seq"	"VN"	"sample"	FALSE
"S-40"	"seq"	"VN"	"sample"	FALSE
"S-41"	"seq"	"VN"	"sample"	FALSE
"S-42"	"seq"	"VN"	NA	FALSE
"S-43"	"seq"	"VN"	NA	FALSE
"S-44"	"seq"	"VN"	NA	FALSE
"S-45"	"seq"	"VN"	"sample"	FALSE
"S-46"	"seq"	"VN"	"sample"	FALSE
"S-47"	"seq"	"VN"	"sample"	FALSE
"20320_kasp"	"seq"	"AF"	NA	FALSE
"20321_kasp"	"seq"	"AF"	NA	FALSE
"20322_kasp"	"seq"	"AF"	NA	FALSE
"20323_kasp"	"seq"	"AF"	NA	FALSE
"20336_kasp"	"seq"	"AF"	NA	TRUE
"20345_kasp"	"seq"	"AF"	NA	FALSE
"20349_kasp"	"seq"	"AF"	NA	FALSE
"20354_kasp"	"seq"	"AF"	NA	TRUE
"20358_kasp"	"seq"	"AF"	NA	FALSE
"20362_kasp"	"seq"	"AF"	NA	TRUE
"20366_kasp"	"seq"	"AF"	NA	TRUE
"20393_kasp"	"seq"	"AF"	NA	FALSE
"20395_kasp"	"seq"	"AF"	NA	TRUE
"20403_kasp"	"seq"	"AF"	NA	FALSE
"20406_kasp"	"seq"	"AF"	NA	TRUE
"20729_kasp"	"seq"	"AF"	NA	FALSE
"200730_kasp"	"seq"	"AF"	NA	FALSE
"20731_kasp"	"seq"	"AF"	NA	FALSE
"20737_kasp"	"seq"	"AF"	NA	FALSE
"20738_kasp"	"seq"	"AF"	NA	TRUE
"20739_kasp"	"seq"	"AF"	NA	FALSE
"20740_kasp"	"seq"	"AF"	NA	FALSE
"20716_kasp"	"seq"	"AF"	NA	TRUE
"20722_kasp"	"seq"	"AF"	NA	FALSE
"20723_kasp"	"seq"	"AF"	NA	TRUE
"20724_kasp"	"seq"	"AF"	NA	TRUE
"20725_kasp"	"seq"	"AF"	NA	TRUE
"20726_kasp"	"seq"	"AF"	NA	TRUE
"20265_kasp"	"seq"	"AF"	NA	FALSE
"20279_kasp"	"seq"	"AF"	NA	FALSE
"20693_kasp"	"seq"	"AF"	NA	TRUE
"20695_kasp"	"seq"	"AF"	NA	TRUE
"20708_kasp"	"seq"	"AF"	NA	TRUE
"20504_kasp"	"seq"	"AF"	NA	TRUE
"20511_kasp"	"seq"	"AF"	NA	TRUE
"20516_kasp"	"seq"	"AF"	NA	TRUE
"20518_kasp"	"seq"	"AF"	NA	FALSE
"20555_kasp"	"seq"	"AF"	NA	TRUE
"20803_kasp"	"seq"	"AF"	NA	FALSE
"20583_kasp"	"seq"	"AF"	NA	TRUE
"20650_kasp"	"seq"	"AF"	NA	TRUE
"20651_kasp"	"seq"	"AF"	NA	FALSE
"20656_kasp"	"seq"	"AF"	NA	FALSE
"20658_kasp"	"seq"	"AF"	NA	TRUE
"20662_kasp"	"seq"	"AF"	NA	TRUE
"20663_kasp"	"seq"	"AF"	NA	FALSE
"20665_kasp"	"seq"	"AF"	NA	FALSE
"20666_kasp"	"seq"	"AF"	NA	FALSE
"S-48"	"seq"	"VN"	"sample"	FALSE
"S-49"	"seq"	"VN"	"sample"	FALSE
"S-50"	"seq"	"VN"	"sample"	FALSE
"S-51"	"seq"	"VN"	"sample"	FALSE
"S-52"	"seq"	"VN"	"sample"	FALSE
"S-53"	"seq"	"VN"	NA	FALSE
"S-54_1"	"seq"	"VN"	NA	FALSE
"S-55"	"seq"	"VN"	NA	FALSE
"S-56"	"seq"	"VN"	NA	FALSE
"S-57"	"seq"	"VN"	NA	FALSE
"S-58"	"seq"	"VN"	"sample"	FALSE
"S-59"	"seq"	"VN"	"sample"	FALSE
"S-61"	"seq"	"VN"	NA	FALSE
